2023-10-19 23:18:33,232 - INFO - Frame 59: Num_Contours=123, Percentage_outliers=1.63, Concentration=30.13, Pancake_no=8, Brash_no=17, Frazil_no=61, Pancake_area=24.06, Brash_area=24.67, Frazil_area=25.59, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,238 - INFO - Frame 60: Num_Contours=124, Percentage_outliers=1.61, Concentration=30.43, Pancake_no=9, Brash_no=18, Frazil_no=57, Pancake_area=27.26, Brash_area=25.11, Frazil_area=23.11, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,244 - INFO - Frame 61: Num_Contours=128, Percentage_outliers=1.56, Concentration=29.06, Pancake_no=9, Brash_no=16, Frazil_no=61, Pancake_area=23.17, Brash_area=23.23, Frazil_area=25.87, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,250 - INFO - Frame 62: Num_Contours=123, Percentage_outliers=1.63, Concentration=30.22, Pancake_no=10, Brash_no=14, Frazil_no=63, Pancake_area=26.9, Brash_area=21.14, Frazil_area=26.84, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,256 - INFO - Frame 63: Num_Contours=114, Percentage_outliers=1.75, Concentration=29.87, Pancake_no=10, Brash_no=14, Frazil_no=59, Pancake_area=28.13, Brash_area=20.62, Frazil_area=24.2, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,262 - INFO - Frame 64: Num_Contours=121, Percentage_outliers=1.65, Concentration=29.38, Pancake_no=10, Brash_no=13, Frazil_no=59, Pancake_area=26.72, Brash_area=19.6, Frazil_area=25.6, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,268 - INFO - Frame 65: Num_Contours=121, Percentage_outliers=1.65, Concentration=25.93, Pancake_no=6, Brash_no=17, Frazil_no=60, Pancake_area=15.84, Brash_area=24.77, Frazil_area=22.76, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,275 - INFO - Frame 66: Num_Contours=122, Percentage_outliers=1.64, Concentration=25.25, Pancake_no=4, Brash_no=18, Frazil_no=60, Pancake_area=11.82, Brash_area=27.04, Frazil_area=22.97, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,280 - INFO - Frame 67: Num_Contours=120, Percentage_outliers=1.67, Concentration=26.89, Pancake_no=7, Brash_no=16, Frazil_no=57, Pancake_area=19.39, Brash_area=23.17, Frazil_area=22.56, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,287 - INFO - Frame 68: Num_Contours=121, Percentage_outliers=1.65, Concentration=24.27, Pancake_no=5, Brash_no=16, Frazil_no=62, Pancake_area=13.27, Brash_area=23.09, Frazil_area=24.34, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
